,content_time,star,comment-content
0,2020-12-01 20:43:49,力荐,从《裂变》一集不落的追到现在，也是数年的老粉了，在此期间，思想几多变化，对于大秦帝国系列要传达的价值观也有了更立体的认识。单就《天下》来说，在演员演技、剧本剧情以及服化道方面，比前三部有过之而无不及，可谓国产剧中的佼佼者，尤其对于兵马俑造型的还原，颇具历史感。剧粉和书粉的争论，从《纵横》开始延续至今，其实二种表现方式各有优劣。原作不乏历史厚重感，只是孙老先生私货太多，秦制和法家几乎完美无缺，老秦子弟都成了圣人。《纵横》的人物就立体化许多，明显的看出七国君臣都不是傻子，这样的对手戏才有看头。秦统的好坏，也是利弊兼有。帝制时代法家能帮帝王统治天下，现在再推崇这种披着“法治”外衣的人治无疑是违背世界潮流的。统一之后还百姓太平，也不过是窃国者的托辞。王侯将相宁有种乎?
1,2020-12-02 23:21:44,较差,剧组合适吗 当我傻 不知道嬴政多少岁登基吗 窒息 张鲁一演少年嬴政是穷的请不起小演员吗 
2,2020-12-01 21:13:28,很差,因一星被很多第四部粉丝豆邮恶意攻击。别人要接受你们的分数，否则就是异教徒。磨皮发白的滤镜和军师联盟相似的制景服装。作曲能和第一部比？嬴政的刻画，难道你们找不到一个和翁斐然差不多有点阴郁气质的小演员？还是根本不屑找？更别说张鲁一喊朱珠母亲了，简直无语。雷人的台词，诸如祖龙要跟吕不韦私奔。古语基本上就是个“甚”！战争场面是有钱了，但是和第一部比起来特别是上来的少梁之战。你们的士兵个个白白净净就算了，马站运镜都和第一部写实感有很大的差距。第一部也不严谨，诸如景监历史上是孝公宠信的太监，但那才是瑕不掩瑜！最后，最讨厌大秦妇一点就是都40集了还充斥着小家巴气的宫斗和阴谋。历史上没有发生的你们也硬要整出点什么！始皇帝，秦庙堂如果不是阳谋为体，尽最大努力团结怎么可能横扫六合，一统中国。这是格局。
3,2020-12-01 22:11:41,很差,我觉得张鲁一的长相和气质不适合演秦始皇，太出戏了，让他去演刘邦吧（不是说张鲁一不好，他演吴老狗就挺好，但演员都有局限性，毕竟长相和气质在那，不是什么角色都适合）还让张鲁一演13岁的嬴政啊，说怕小演员没演技，剧组的人没看过翁斐然的小嬴政吗？张版政实在没有始皇帝的感觉~失望~再就是朱珠的演技，我每次看见她都觉得好尴尬~再说说剧情，千古一帝秦始皇被写成了又傻白甜又怂包，要去跟吕不韦浪迹天涯，什么鬼编剧，看琼瑶看多了？编剧你确定这剧不是黑秦始皇的吗？还有大量宫斗剧情，我是想看千古一帝统一六国，谁想看宫斗啊我怀疑编剧写跑偏了，秦始皇是配角，把赵姬写成了大女主，然后一堆男的都爱她，拖拖拉拉快五十集嫪毐才死，改名吧，改成大秦后宫赋或大情妇得了更新于12.17。
4,2020-12-03 22:58:50,还行,张鲁一对着朱珠喊“母亲”，我后背发凉。
5,2020-12-01 21:00:00,还行,比大秦帝国，差点儿意思。
6,2020-12-03 22:09:41,很差,我也不知道以下哪个更雷：80年的张鲁一叫84年的朱珠妈还演的是13岁的嬴政；张鲁一演的13岁嬴政叫吕不韦带他走，他们一起去浪迹天涯；嬴政管华阳叫嫡祖母太后。
7,2020-12-01 20:59:47,力荐,好看，一个段奕宏我就入戏了
8,2020-12-02 11:54:44,还行,跟前面几部，尤其是第一二部比起来，审美、剧情、服化道和节奏统统都不是一个档次的，变成了“戏说”大秦了。审美上就一股塑料味儿，毫无战国时期那种古朴带点野性纯粹的风格，假精致的影楼风。剧情和人设也奇葩，好多莫名其妙的事，轮子都掉了，驾车的还一个劲地鞭打马匹，智障么？赢异人是个顾家小男人，三句话不离老婆孩子。台词太直白，一嘴的现代大白话，白开水一样。节奏诡异，战争场面是砸钱了，可砸钱了你也别使劲堆砌啊，于剧情推动无关的大场面看多了很疲劳，影响主剧情，得不偿失。槽多无口，三星给演员们的演技吧，毕竟老戏骨还挺不容易的。
9,2020-12-02 20:48:09,很差,还是场面太干净了！！啥玩意儿都是整整齐齐一点污糟都没有！这样怎么能叫大秦……你这地面都铺这么好的现代化地砖，秦始皇还需要车同轨吗？？？
10,2020-12-03 22:54:30,较差,失望！这是在拍什么古偶剧吗？要跟吕不韦浪迹天涯？？？张鲁一真的不适合演嬴政，毫无帝王之气。
11,2020-12-01 21:52:57,还行,失望！应该让丁黑导演
12,2020-12-02 00:35:10,还行,失望，大写的失望。第一集人物出场时乱用运镜和镜头加速，技术运用得很奇怪；台词方面，连词添加得变扭，语句中各词性前后位置不合时代风格，像在现代台词基础上再添加点之乎者也；已出场的角色中，吕不韦、赵姬、嬴异人、申越等，饰演他们的都是好演员，可整体演绎出的风格和先秦时代非常违和。腾讯系根本没有制作历史正剧的经验，何必强行接手啊。赵季平老师的配乐及战争戏或许是前六集唯二的优点了吧。今年期待的两部古装历史剧在质量上齐齐垮掉，怒而摔笔！
13,2020-12-01 20:36:07,力荐,赳赳老秦，共赴国难！
14,2020-12-04 07:52:48,很差,不说别的，千古一帝不是张鲁一这样的……他撑不起来，他也不配这个角色
15,2020-12-01 23:57:53,较差,做家务看了一集，吹成这样，一塌糊涂
16,2020-12-01 21:04:12,推荐,这才第一集，嫪毐的一个肾就没了，可还行？赵姬表示很亏[裂开]
17,2020-12-02 21:19:00,推荐,道服化好用心，演员除开赵姬都很给力，就不明白一点，张鲁一长相气质完全没有嬴政的feel，目前没上线不评价演的好不好，但形象上不符合我心中秦始皇的样子
18,2020-12-01 21:00:29,力荐,看了一集，我先把五分放这
19,2020-12-02 19:29:59,很差,古战国之风荡然无存，BGM滥用到无以复加，华丽的背后是精心堆砌的泥沙
