,book_name,author,edition_time,price
0,你当像鸟飞往你的山（比尔・盖茨年度特别推荐，登顶《纽约时报》畅销榜80 周！多一个人读到这个真实故事，就多一个人勇敢做自己！）,塔拉,2019-11-01,￥59.00
1,健康日历2021(包邮),丁香医生,2020-09-01,￥79.00
2,人间失格（日本小说家太宰治代表作，190多万条好评的现象级畅销书）,太宰治,2015-08-01,￥19.50
3,小熊和最好的爸爸（全7册）,阿兰德・丹姆,2007-11-01,￥34.70
4,活着（荣获中国版权金奖.作品奖版本，销量逾千万册）,余华,2012-08-01,￥28.00
5,乌合之众 : 大众心理研究,古斯塔夫・勒庞,2018-04-06,￥20.30
6,少年读史记（套装全5册）,张嘉骅,2015-09-01,￥95.00
7,蛤蟆先生去看心理医生（热销23年，英国经典心理咨询入门书，知名心理学家李松蔚强烈推荐 ）,罗伯特・戴博德,2020-07-01,￥36.10
8,侦探与小偷 （教育部统编《语文》推荐阅读，与语文教材无缝对接，手绘精美插图，金钥匙儿童文学大系）,叶永烈,2019-01-01,￥22.10
9,万物由来科学绘本 写给孩子的科普绘本,项华,2020-08-01,￥20.00
10,杀死一只知更鸟（豆瓣9.2，关于勇气与正义的成长教科书，影响全球5000万家庭的“教养宝典”，奥巴马、贝克汉姆、奥普拉鼎力推荐）,哈珀・李,2017-02-01,￥46.50
11,人生海海（麦家重磅力作，莫言、董卿盛赞，发行量超150万册，豆瓣2019年度中国小说榜TOP・1）,麦家,2019-04-16,￥55.00
12,小王子（名家全译本，原版插图精美再现，版语文教材阅读，傅雷翻译出版奖得主郑克鲁法语原文直译）,圣埃克苏佩里,2018-07-19,￥22.10
13,神奇校车・图画书版（全12册，新增科学博览会1册）,乔安娜柯尔,2018-05-10,￥196.00
14,吹牛大王历险记（德国百年童话，名家未删节全译，配德国原版精美插图。排行榜100名之内，销量遥遥领先，暑期月销10000册）,埃・拉斯伯,2017-12-01,￥16.90
15,正面管教(修订版),简・尼尔森,2016-07-01,￥38.00
16,东野圭吾：白夜行（易烊千玺、孟非推荐，东野圭吾作品无冕之王）,东野圭吾,2017-08-09,￥59.60
17,三体：全三册 刘慈欣代表作，亚洲首部“雨果奖”获奖作品！,刘慈欣,2010-11-01,￥86.20
18,审判（豆瓣9.0分高评译本）,卡夫卡,2018-04-01,￥22.30
