,country_name,location_name,category_name,recruit_post_name,responsibility,last_update_time
0,中国,深圳,技术,23295-互娱TGL后台开发工程师（深圳）,1.参与腾讯游戏内容创作平台架构设计和搭建工作；2.负责腾讯游戏内容创作平台后台模块开发工作；3.负责腾讯游戏内容创作平台后台性能分析和调优工作。,2021年01月21日
1,中国,深圳,技术,PCG17-web前端开发工程师（深圳）,负责通过技术提升用户体验和可用性；负责实现突破web多终端设备限制，为更多用户群体提供更好地产品体验。,2021年01月21日
2,中国,深圳,技术,PCG17-后台开发高级工程师（深圳）,负责后台Server的架构设计、开发、优化以及运营工作；负责提出海量服务的解决方案，针对高并发高负载服务开发基础设施。,2021年01月21日
3,中国,深圳,产品,PCG17-QQ手游平台产品策划（深圳）,负责QQ游戏中心的产品策划工作，把握产品方向，对平台用户活跃度及用户体验负责；利用QQ平台独有优势，与精品游戏深度结合，打造更加适合QQ用户的玩家服务；负责管理项目整体节奏，利用增长理念推动新产品上线及老产品的优化迭代，搭建数据体系、深度分析数据，并对执行效果进行跟踪反馈与进一步优化。,2021年01月21日
4,中国,深圳,技术,15605-日本动漫IP手游服务器开发工程师（深圳）,"和项目团队紧密合作，为游戏产品提供行业先进的技术解决方案，以丰富游戏产品内容，提升游戏品质；参与或主导健壮、灵活、实用的游戏后台解决方案，改进游戏后台服务性能、提高服务质量、提升研发效能。目前我们正结合容器化、cloud native和微服务等理念，打造面向云化未来的游戏服务化平台解决方案。我们的团队：致力于探索行业先进的技术解决方案，为玩家打造高品质的游戏体验。我们研发并运营着国内最成功的格斗手游,《火影忍者手游》，同时也正在开发全新的顶级日漫IP手游。我们是工程师、程序员、游戏爱好者，我们在快节奏的敏捷项目中相互支持、迎接挑战、共同学习，在云化、DevOps和游戏精品化的浪潮中快速成长。期待优秀的你加入!",2021年01月21日
5,中国,北京,战略与投资,22851-腾讯视频行业研究,负责视频行业研究，持续观察视频领域新趋势，新产品和新模式，寻找和判断新的业务机会，为业务团队提供决策支持；对内外部数据进行挖掘，在深入理解用户行为、内容特点的基础上，数据驱动决策建议产出及落地；负责日常经营分析和管理工作，如运营分析体系搭建、日常数据监控及分析报告输出等。,2021年01月21日
6,中国,广州,技术,CSIG08-iOS开发工程师（广州）,1. 负责腾讯相册管家iOS平台开发工作2. 独立承担包括iOS客户端的需求分析、方案设计与开发实现、性能调优、重点/难点技术攻坚等3. 负责系统和模块级的架构设计工作4. 关注技术发展趋势，承担并推动团队内成员技术分享,2021年01月21日
7,中国,深圳,技术,PCG19-腾讯视频视觉算法组组长（深圳/北京）【LLive】,负责腾讯视频视频理解领域的技术研发。负责图片、视频分析算法的研究和开发，包括但不限于图像/视频/音频语义标签提取、多模态视频理解、大规模人脸识别、视频生成、智能配乐等等; 探索与跟进前沿技术，推动计算机视觉算法和深度学习在实际应用领域的性能优化和落地。,2021年01月21日
8,中国,深圳,技术,PCG19-腾讯视频GO/C++后台工程师（深圳/北京）【LLive】,负责腾讯视频app移动后台的设计与开发；负责腾讯视频弹幕、直播服务等系统的设计与开发；负责腾讯视频看单、push等系统的设计与开发。,2021年01月21日
9,中国,深圳,技术,25923-蓝鲸C++后台开发工程师（深圳）,负责腾讯蓝鲸体系分布式管控后台开发工作；负责蓝鲸容器运行时相关功能开发；负责底层后台网络技术相关研发。,2021年01月21日
10,中国,深圳,产品,41309-海外手游本地化策划,1. 负责卡牌手游产品本地化调优。对主流卡牌手游的玩法循环、经济系统等模块了解； 2. 根据海外用户特点，针对不同类型用户的需求，制订方案并推动开发：包括但不限于系统功能模块、玩法模式规则、数值优化等方面； 3. 与美术和开发进行良好的沟通合作，保障游戏的功能实现； 4. 熟练运用版本效果分析、用户调研、玩家舆论监控等手段收集并提炼用户需求，推动游戏内容持续调优完善。,2021年01月21日
11,中国,深圳,产品,41309-海外手游版本管理,1、负责手游产品海外发行相关技术接入与版本管理工作，保证版本稳定性；2、跟进版本测试、版本部署、版本发布等版本流程各环节工作；3、负责日常外网问题反馈接受和处理，推动版本质量及内容优化；4、负责与海外协作方、开发团队协作沟通，确保版本的质量和效果。,2021年01月21日
12,中国,深圳,产品,41309-海外手游社群运营,1.、承担海外发行产品的社区运营工作，负责产品海外官方社区相关策略制定、执行、监控和分析，提升用户对游戏和社区的粘性；2、根据游戏特色，制订社群内容传播策略。善于策划及撬动高品质创意内容的产出（视频、平面、文案等）；3、与游戏运营、品牌营销等团队协作，根据游戏节点，进行社区运营和用户运营，以社区流量、活跃为目标，助力游戏新进，活跃和回流4、负责沉淀储备优质的内容策划及产出合作伙伴；负责用户反馈的收集，维护沉淀核心用户，维护产品口碑。,2021年01月21日
13,中国,深圳,产品,41309-海外手游商业化策划,1、负责海外卡牌手游的商业化运营规划制定，把控整体商业化节奏，确保收入目标达成；2、通过运营数据发现问题，针对现状，设计针对不同用户的商业化活动，并跟进活动效果，对活动形式进行持续优化总结； 3、清晰用户需求，拓展游戏内商业化内容，合理利用游戏资源，策划商业化活动，总结沉淀不同用户特性。,2021年01月21日
14,中国,深圳,产品,41309-海外手游发行版本管理,1、负责手游产品海外发行相关技术接入与版本管理工作，保证版本稳定性；2、跟进版本测试、版本部署、版本发布等版本流程各环节工作；3、负责日常外网问题反馈接受和处理，推动版本质量及内容优化；4、负责与海外协作方、开发团队协作沟通，确保版本的质量和效果。,2021年01月21日
15,中国,深圳,产品,41309-海外手游商业化策划,1、负责卡牌手游的商业化运营规划制定，把控整体商业化节奏，确保收入目标达成；2、通过运营数据发现问题，针对现状，设计针对不同用户的商业化活动，并跟进活动效果，对活动形式进行持续优化总结； 3、清晰用户需求，拓展游戏内商业化内容，合理利用游戏资源，策划商业化活动，总结沉淀不同用户特性。,2021年01月21日
16,中国,深圳,产品,41309-海外手游社区运营经理,1.、承担海外发行产品的社区运营工作，负责产品海外官方社区相关策略制定、执行、监控和分析，提升用户对游戏和社区的粘性；2、根据游戏特色，制订社群内容传播策略。善于策划及撬动高品质创意内容的产出（视频、平面、文案等）；3、与游戏运营、品牌营销等团队协作，根据游戏节点，进行社区运营和用户运营，以社区流量、活跃为目标，助力游戏新进，活跃和回流4、负责沉淀储备优质的内容策划及产出合作伙伴；负责用户反馈的收集，维护沉淀核心用户，维护产品口碑。,2021年01月21日
17,中国,深圳,销售、服务与支持,26699-智慧零售大客户销售经理（深圳）,负责智慧零售云的行业大客户拓展和销售业绩的达成； 根据零售行业业务场景，结合腾讯云产品能力、大数据能力以及腾讯内部各类资源，挖掘并发现腾讯与客户之间商业机会结合点； 整合腾讯内部资源、能力，形成大客户营销解决方案，并进一步推进零售行业标杆案例的建设； 以行业标杆案例为契机，推动在零售行业内部推广腾讯的解决方案，以推动腾讯在智慧零售行业的影响力及市场占比； 以智慧零售为依托，构建智慧零售行业的商业生态版图，引入并管理各类合作伙伴，构建智慧零售商业生态； 维护大客户长期关系，保持行业样本客户的满意度、活跃度和推荐意愿。并协同标杆客户组织各类大型的市场活动，借以推广腾讯的智慧零售解决方案。,2021年01月21日
